nama_kabupaten,latitude,longitude,year,month,temperature_2m_max_monthly_mean,temperature_2m_min_monthly_mean,temperature_2m_mean_monthly_mean,precipitation_sum_monthly_sum,rain_sum_monthly_sum,precipitation_hours_monthly_sum,windspeed_10m_max_monthly_mean,shortwave_radiation_sum_monthly_sum,et0_fao_evapotranspiration_monthly_mean,relative_humidity_2m_max_monthly_mean,relative_humidity_2m_min_monthly_mean,temp_range_monthly_mean,humidity_mean_monthly_mean,drought_index_monthly_mean
Kab. Pangandaran,-7.68,108.65,2016,9,30.040000000000003,24.740000000000002,26.88,229.6,229.6,335.0,11.696666666666665,516.41,3.5116666666666663,93.93333333333334,73.73333333333333,5.3,83.83333333333333,2.718251069084487
Kab. Pangandaran,-7.68,108.65,2016,10,29.845161290322583,25.074193548387097,26.9741935483871,569.2,569.2,502.0,9.838709677419354,440.25,2.9780645161290322,92.90322580645162,75.29032258064517,4.770967741935484,84.09677419354838,9.717434807054603
Kab. Pangandaran,-7.68,108.65,2016,11,30.226666666666667,25.209999999999997,27.17,273.5,273.5,424.0,9.62,464.6,3.2463333333333333,92.86666666666666,72.8,5.016666666666667,82.83333333333333,3.0366841780163245
Kab. Pangandaran,-7.68,108.65,2016,12,30.4741935483871,25.31935483870968,27.325806451612905,326.3,326.3,376.0,12.293548387096775,494.5,3.3929032258064513,92.29032258064517,71.19354838709677,5.15483870967742,81.74193548387096,3.881546943304311
Kab. Pangandaran,-7.68,108.65,2017,1,30.674193548387095,25.270967741935483,27.38064516129032,396.8,396.8,389.0,9.332258064516129,474.90000000000003,3.2687096774193547,93.19354838709677,72.12903225806451,5.403225806451612,82.66129032258064,4.341654930374149
Kab. Pangandaran,-7.68,108.65,2017,2,30.210714285714285,25.0,27.103571428571428,286.7,286.7,328.0,9.667857142857143,472.17,3.529642857142857,93.46428571428571,72.71428571428571,5.2107142857142845,83.08928571428571,3.474920878073462
Kab. Pangandaran,-7.68,108.65,2017,3,30.84516129032258,25.151612903225807,27.496774193548386,189.3,189.3,296.0,10.003225806451614,568.61,3.81,92.6774193548387,71.58064516129032,5.693548387096773,82.12903225806451,1.9580740881396563
Kab. Pangandaran,-7.68,108.65,2017,4,30.53666666666667,25.223333333333336,27.416666666666668,277.4,277.4,357.0,9.146666666666667,494.18,3.4366666666666665,92.56666666666666,72.26666666666667,5.3133333333333335,82.41666666666667,2.8778675113864858
Kab. Pangandaran,-7.68,108.65,2017,5,29.96451612903226,24.83225806451613,27.051612903225806,136.79999999999998,136.79999999999998,253.0,11.235483870967743,502.12,3.318064516129032,92.41935483870968,73.51612903225806,5.132258064516129,82.96774193548387,2.488536154360964
Kab. Pangandaran,-7.68,108.65,2017,6,29.813333333333333,24.90666666666667,26.94,125.5,125.5,259.0,10.53,446.3,3.079,92.4,73.66666666666667,4.906666666666666,83.03333333333333,1.6554017698468002
Kab. Pangandaran,-7.68,108.65,2017,7,28.041935483870965,23.700000000000003,25.580645161290324,84.0,84.0,234.0,14.980645161290322,453.3,2.9061290322580646,92.29032258064517,74.7741935483871,4.341935483870968,83.53225806451613,1.2414821460748349
Kab. Pangandaran,-7.68,108.65,2017,8,27.106451612903225,22.774193548387096,24.651612903225807,21.2,21.2,133.0,15.483870967741936,502.83,3.0929032258064515,93.19354838709677,75.3225806451613,4.33225806451613,84.25806451612904,0.24398722635841108
Kab. Pangandaran,-7.68,108.65,2017,9,28.266666666666666,23.396666666666665,25.46333333333333,150.5,150.5,184.0,14.523333333333333,520.35,3.4183333333333334,93.93333333333334,72.03333333333333,4.870000000000001,82.98333333333333,2.274575369928979
Kab. Pangandaran,-7.68,108.65,2017,10,28.961290322580645,24.61935483870968,26.358064516129033,135.5,135.5,385.0,11.983870967741936,526.06,3.3738709677419356,93.80645161290323,77.38709677419355,4.341935483870968,85.59677419354838,1.5898846053863869
Kab. Pangandaran,-7.68,108.65,2017,11,29.66,24.69,26.69,395.3,395.3,408.0,11.006666666666666,447.84999999999997,3.0959999999999996,93.76666666666667,74.86666666666666,4.97,84.31666666666666,4.841938914024935
Kab. Pangandaran,-7.68,108.65,2017,12,30.154838709677417,25.0258064516129,27.212903225806453,186.3,186.3,322.0,11.01290322580645,520.49,3.512903225806452,91.80645161290323,72.12903225806451,5.129032258064516,81.96774193548387,2.0690208602851614
Kab. Pangandaran,-7.68,108.65,2018,1,30.519354838709678,25.006451612903227,27.116129032258065,363.7,363.7,430.0,10.03225806451613,493.49,3.3761290322580644,92.83870967741936,70.90322580645162,5.512903225806451,81.87096774193549,3.594634085945161
Kab. Pangandaran,-7.68,108.65,2018,2,30.232142857142858,24.664285714285715,26.889285714285712,243.4,243.4,323.0,9.721428571428572,486.83,3.6014285714285714,94.0,72.46428571428571,5.567857142857143,83.23214285714286,2.6455002015471467
Kab. Pangandaran,-7.68,108.65,2018,3,30.47741935483871,24.95483870967742,27.26774193548387,190.4,190.4,280.0,9.764516129032257,572.75,3.803548387096774,92.7741935483871,72.29032258064517,5.52258064516129,82.53225806451613,1.997564373443301
Kab. Pangandaran,-7.68,108.65,2018,4,31.073333333333334,25.40666666666667,27.783333333333335,216.5,216.5,253.0,9.603333333333333,552.67,3.827,92.46666666666667,70.1,5.666666666666667,81.28333333333333,2.406701120223359
Kab. Pangandaran,-7.68,108.65,2018,5,30.24516129032258,24.961290322580645,27.27741935483871,72.3,72.3,178.0,11.73225806451613,553.27,3.679032258064516,90.80645161290323,72.09677419354838,5.283870967741936,81.45161290322581,0.7113022046061946
Kab. Pangandaran,-7.68,108.65,2018,6,29.376666666666665,24.146666666666665,26.383333333333333,56.6,56.6,202.0,13.766666666666667,466.63,3.2423333333333333,92.0,70.56666666666666,5.23,81.28333333333333,0.799383320546995
Kab. Pangandaran,-7.68,108.65,2018,7,27.796774193548387,21.938709677419357,24.458064516129035,3.5999999999999996,3.5999999999999996,27.0,15.332258064516129,528.88,3.3470967741935485,92.2258064516129,65.90322580645162,5.858064516129032,79.06451612903226,0.0384154136267702
Kab. Pangandaran,-7.68,108.65,2018,8,27.851612903225806,22.23548387096774,24.6,15.4,15.4,96.0,16.751612903225805,552.67,3.577741935483871,91.19354838709677,64.90322580645162,5.616129032258065,78.04838709677419,0.1611642192410807
Kab. Pangandaran,-7.68,108.65,2018,9,28.373333333333335,23.276666666666664,25.333333333333332,41.5,41.5,192.0,16.133333333333333,557.27,3.6813333333333333,93.13333333333334,68.46666666666667,5.096666666666666,80.8,0.42868832282507235
Kab. Pangandaran,-7.68,108.65,2018,10,29.758064516129032,24.19677419354839,26.458064516129035,28.1,28.1,148.0,16.232258064516127,616.97,4.0606451612903225,92.51612903225806,66.87096774193549,5.561290322580645,79.69354838709677,0.2617088735527618
Kab. Pangandaran,-7.68,108.65,2018,11,29.933333333333334,24.959999999999997,27.013333333333332,298.9,298.9,404.0,11.823333333333332,483.26,3.347,92.26666666666667,73.96666666666667,4.973333333333333,83.11666666666666,5.217602311629398
Kab. Pangandaran,-7.68,108.65,2018,12,29.787096774193547,25.296774193548387,27.141935483870967,307.5,307.5,397.0,12.341935483870968,462.41,3.1538709677419354,90.6774193548387,74.83870967741936,4.490322580645162,82.75806451612904,4.165291134916596
Kab. Pangandaran,-7.68,108.65,2019,1,30.89032258064516,25.138709677419353,27.40967741935484,256.6,256.6,313.0,9.5,524.36,3.5629032258064517,93.35483870967742,71.83870967741936,5.751612903225807,82.59677419354838,2.6324012461317254
Kab. Pangandaran,-7.68,108.65,2019,2,30.967857142857145,25.25357142857143,27.517857142857142,170.1,170.1,291.0,8.625,492.65,3.6910714285714286,93.17857142857143,71.78571428571429,5.714285714285714,82.48214285714286,1.906155883269347
Kab. Pangandaran,-7.68,108.65,2019,3,30.490322580645163,25.125806451612902,27.219354838709677,371.4,371.4,422.0,8.74516129032258,467.33,3.1938709677419355,93.19354838709677,72.54838709677419,5.364516129032259,82.87096774193549,4.670114680429027
Kab. Pangandaran,-7.68,108.65,2019,4,31.173333333333336,25.490000000000002,27.85666666666667,187.1,187.1,308.0,9.426666666666668,504.02,3.5123333333333333,93.66666666666667,71.3,5.683333333333334,82.48333333333333,1.988730732003481
Kab. Pangandaran,-7.68,108.65,2019,5,30.496774193548386,25.203225806451613,27.458064516129035,45.3,45.3,182.0,12.916129032258064,534.09,3.6212903225806454,91.6774193548387,69.83870967741936,5.293548387096774,80.75806451612904,0.4254767876673973
Kab. Pangandaran,-7.68,108.65,2019,6,28.473333333333336,22.736666666666668,25.186666666666667,6.6000000000000005,6.6000000000000005,44.0,13.91,510.2,3.351,93.56666666666666,68.73333333333333,5.736666666666666,81.15,0.08649901088838825
Kab. Pangandaran,-7.68,108.65,2019,7,27.73548387096774,22.26451612903226,24.60967741935484,8.2,8.2,59.0,15.40967741935484,499.84,3.1922580645161287,92.83870967741936,67.51612903225806,5.470967741935484,80.1774193548387,0.09902358775911636
Kab. Pangandaran,-7.68,108.65,2019,8,27.516129032258064,21.94193548387097,24.135483870967743,7.4,7.4,53.0,15.577419354838709,562.62,3.5219354838709678,93.54838709677419,65.64516129032258,5.574193548387097,79.59677419354838,0.08386016365863479
Kab. Pangandaran,-7.68,108.65,2019,9,28.433333333333334,22.486666666666668,24.793333333333333,3.3000000000000003,3.3000000000000003,26.0,17.083333333333332,623.89,4.021333333333334,92.26666666666667,64.3,5.946666666666667,78.28333333333333,0.02955454221547547
Kab. Pangandaran,-7.68,108.65,2019,10,29.925806451612903,23.69677419354839,26.212903225806453,9.8,9.8,68.0,15.858064516129033,649.52,4.26741935483871,93.74193548387096,62.354838709677416,6.229032258064516,78.04838709677419,0.07663645324256145
Kab. Pangandaran,-7.68,108.65,2019,11,29.64333333333333,24.33,26.513333333333332,126.2,126.2,179.0,12.229999999999999,594.74,3.9466666666666668,93.53333333333333,72.4,5.3133333333333335,82.96666666666667,2.0680601752075534
Kab. Pangandaran,-7.68,108.65,2019,12,31.432258064516127,25.16774193548387,27.62258064516129,215.6,215.6,301.0,9.806451612903226,560.09,3.8067741935483874,93.03225806451613,68.16129032258064,6.264516129032258,80.59677419354838,1.9868244896862985
Kab. Pangandaran,-7.68,108.65,2020,1,30.725806451612904,25.30322580645161,27.580645161290324,291.8,291.8,317.0,8.958064516129031,528.74,3.5880645161290325,93.29032258064517,72.19354838709677,5.422580645161291,82.74193548387096,3.4687909627225393
Kab. Pangandaran,-7.68,108.65,2020,2,31.120689655172413,25.303448275862067,27.42413793103448,396.7,396.7,407.0,8.279310344827586,459.33,3.3717241379310345,93.89655172413794,72.13793103448276,5.817241379310344,83.01724137931035,4.9977290836388075
Kab. Pangandaran,-7.68,108.65,2020,3,30.980645161290322,25.438709677419357,27.64516129032258,578.9,578.9,373.0,8.870967741935484,499.96,3.4116129032258065,93.45161290322581,71.96774193548387,5.541935483870968,82.70967741935483,6.989927531699856
Kab. Pangandaran,-7.68,108.65,2020,4,31.06,25.516666666666666,27.84,256.4,256.4,305.0,8.423333333333334,506.7,3.523,93.13333333333334,72.56666666666666,5.543333333333333,82.85,2.578759097021115
Kab. Pangandaran,-7.68,108.65,2020,5,30.787096774193547,25.60967741935484,27.76774193548387,377.6,377.6,365.0,9.241935483870968,437.43,2.9941935483870967,92.51612903225806,73.25806451612904,5.17741935483871,82.88709677419355,6.298803352902456
Kab. Pangandaran,-7.68,108.65,2020,6,29.376666666666665,24.509999999999998,26.66,97.4,97.4,312.0,12.626666666666667,463.51,3.0926666666666667,93.5,76.4,4.866666666666666,84.95,1.1935455581015688
Kab. Pangandaran,-7.68,108.65,2020,7,28.09032258064516,23.406451612903226,25.490322580645163,53.5,53.5,238.0,14.083870967741936,479.76,3.037741935483871,93.3225806451613,75.2258064516129,4.683870967741935,84.2741935483871,0.5849859490244846
